nohup: ignoring input

> prime_showcase_9d9e9b80@0.1.0 dev
> next dev --turbopack --port 50982 --hostname 0.0.0.0

   ▲ Next.js 15.4.1 (Turbopack)
   - Local:        http://localhost:50982
   - Network:      http://0.0.0.0:50982

 ✓ Starting...
 ✓ Ready in 863ms
 ○ Compiling / ...
 ✓ Compiled / in 2.3s
 GET / 200 in 2583ms
 GET / 200 in 53ms
 ⚠ Cross origin request detected from web-50982.link.aivf.io to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 GET / 200 in 44ms
 GET / 200 in 46ms
 GET / 200 in 41ms
 GET / 200 in 41ms
 GET / 200 in 39ms
 GET /?t=1752756264724 200 in 38ms
 GET /?t=1752756264565 200 in 42ms
 GET /?t=1752756323923 200 in 66ms
 GET /?t=1752756323921 200 in 64ms
 GET / 200 in 44ms
 GET / 200 in 48ms
 GET / 200 in 38ms
 GET / 200 in 39ms
 GET /?t=1752756324656 200 in 36ms
 GET /?t=1752756324746 200 in 36ms
 GET / 200 in 33ms
 GET / 200 in 41ms
 ✓ Compiled /favicon.ico in 226ms
 GET /favicon.ico?favicon.45db1c09.ico 200 in 485ms
 GET /?t=1752756356966 200 in 37ms
 GET / 200 in 44ms
 GET / 200 in 35ms
 GET /?t=1752756357544 200 in 38ms
 GET /?t=1752756358395 200 in 38ms
 GET /?t=1752756358608 200 in 48ms
 GET /?t=1752756358768 200 in 38ms
 GET / 200 in 37ms
 GET / 200 in 39ms
 GET /?t=1752756359044 200 in 33ms
 GET /?t=1752756368915 200 in 43ms
 GET / 200 in 46ms
 GET / 200 in 40ms
 GET /?t=1752756369458 200 in 39ms
 GET /?t=1752756378923 200 in 50ms
 GET / 200 in 42ms
 GET / 200 in 34ms
 GET /?t=1752756379216 200 in 37ms
 GET /?t=1752756383921 200 in 43ms
 GET / 200 in 60ms
 GET / 200 in 38ms
 GET /?t=1752756384304 200 in 35ms
 GET /?t=1752756388916 200 in 58ms
 GET / 200 in 34ms
 GET / 200 in 33ms
 GET /?t=1752756389342 200 in 34ms
 GET /?t=1752756398925 200 in 42ms
 GET / 200 in 36ms
 GET / 200 in 34ms
 GET /?t=1752756399272 200 in 36ms
 GET /?t=1752756408925 200 in 47ms
 GET / 200 in 43ms
 GET / 200 in 44ms
 GET /?t=1752756409381 200 in 37ms
 GET /?t=1752756418923 200 in 40ms
 GET / 200 in 39ms
 GET / 200 in 36ms
 GET /?t=1752756419366 200 in 38ms
 GET /?t=1752756443925 200 in 45ms
 GET /?t=1752756443933 200 in 65ms
 GET / 200 in 41ms
 GET / 200 in 32ms
 GET / 200 in 33ms
 GET / 200 in 55ms
 GET /?t=1752756444481 200 in 46ms
 GET /?t=1752756444376 200 in 61ms
 GET /?t=1752756503892 200 in 93ms
 GET /?t=1752756503895 200 in 92ms
 GET / 200 in 42ms
 GET / 200 in 40ms
 GET / 200 in 54ms
 GET / 200 in 37ms
 GET /?t=1752756504300 200 in 39ms
 GET /?t=1752756504382 200 in 36ms
 GET /?t=1752756563896 200 in 85ms
 GET /?t=1752756563896 200 in 87ms
 GET / 200 in 42ms
 GET / 200 in 35ms
 GET / 200 in 69ms
 GET / 200 in 38ms
 GET /?t=1752756564465 200 in 37ms
 GET /?t=1752756564542 200 in 38ms
 GET /?t=1752756578449 200 in 31ms
 GET / 200 in 47ms
 GET / 200 in 44ms
 GET /?t=1752756578929 200 in 34ms
 GET /?t=1752756579763 200 in 34ms
 GET / 200 in 36ms
 GET / 200 in 44ms
 GET /?t=1752756580150 200 in 41ms
 GET /?t=1752756583905 200 in 38ms
 GET / 200 in 54ms
 GET / 200 in 31ms
 GET /?t=1752756584172 200 in 40ms
 GET /?t=1752756588889 200 in 35ms
 GET / 200 in 38ms
 GET / 200 in 33ms
 GET /?t=1752756589257 200 in 35ms
 GET /?t=1752756593894 200 in 51ms
 GET / 200 in 34ms
 GET / 200 in 35ms
 GET /?t=1752756594261 200 in 33ms
 GET /?t=1752756598892 200 in 35ms
 GET / 200 in 37ms
 GET / 200 in 31ms
 GET /?t=1752756599248 200 in 34ms
 GET /?t=1752756603903 200 in 33ms
 GET / 200 in 33ms
 GET / 200 in 36ms
 GET /?t=1752756604274 200 in 40ms
 GET /?t=1752756608898 200 in 36ms
 GET / 200 in 38ms
 GET / 200 in 35ms
 GET /?t=1752756609257 200 in 30ms
 GET /?t=1752756613894 200 in 33ms
 GET / 200 in 33ms
 GET / 200 in 38ms
 GET /?t=1752756614262 200 in 46ms
 GET /?t=1752756618894 200 in 32ms
 GET / 200 in 33ms
 GET / 200 in 31ms
 GET /?t=1752756619257 200 in 30ms
 GET /?t=1752756623902 200 in 38ms
 GET / 200 in 39ms
 GET / 200 in 59ms
 GET /?t=1752756624287 200 in 31ms
 GET /?t=1752756628888 200 in 32ms
 GET / 200 in 34ms
 GET / 200 in 33ms
 GET /?t=1752756629248 200 in 34ms
 GET /?t=1752756633886 200 in 31ms
 GET / 200 in 33ms
 GET / 200 in 49ms
 GET /?t=1752756634324 200 in 30ms
 GET /?t=1752756638894 200 in 31ms
 GET / 200 in 29ms
 GET / 200 in 32ms
 GET /?t=1752756639256 200 in 29ms
 GET / 200 in 29ms
 GET / 200 in 30ms
 GET / 200 in 37ms
 GET /?t=1752756674256 200 in 36ms
 GET /?t=1752756680790 200 in 44ms
 GET / 200 in 54ms
 GET / 200 in 39ms
 GET /?t=1752756681063 200 in 34ms
 GET /?t=1752756683892 200 in 67ms
 GET /?t=1752756683890 200 in 68ms
 GET / 200 in 46ms
 GET / 200 in 43ms
 GET / 200 in 39ms
 GET / 200 in 49ms
 GET /?t=1752756684279 200 in 62ms
 GET /?t=1752756684377 200 in 46ms
